Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-23 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-23 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system has a combination of high elongation and electric properties.",N/A,,,"[{'Density': {'Metric': '0.947g/cc', 'English': '0.0342lb/in³', 'Comments': 'Part B'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '7.58MPa', 'English': '1100psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '2.00e+15ohm-cm', 'English': '2.00e+15ohm-cm', 'Comments': None}}]",N/A,N/A,N/A,[{'Arc-Track Free (min)> 15002.5 KV': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=43b333f171194c07ba4f5c93d6c7549f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-22 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-22 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system is used in light emitting diodes and where light-fast transparency is needed.",N/A,,,"[{'Density': {'Metric': '1.14g/cc', 'English': '0.0411lb/in³', 'Comments': 'Part A'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '77.9MPa', 'English': '11300psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.00e+16ohm-cm', 'English': '1.00e+16ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '108°C', 'English': '226°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5c83ce97c49a4db2bc9879c7687068f2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-21 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-21 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system combines rigidity, heat resistance, and good thermocycling properties.",N/A,,,"[{'Density': {'Metric': '1.09g/cc', 'English': '0.0394lb/in³', 'Comments': 'Part B'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '55.2MPa', 'English': '8000psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.00e+16ohm-cm', 'English': '1.00e+16ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '100°C', 'English': '212°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=65f65f68ece24bb4a7d264f3e750aa33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8103-20 High-Performance Dielectric Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8103-20 is a dielectric in/outdoor epoxy system with superior arc-track resistance, high voltage and heat resistance, low ash and ion content, and it is chlorine-free. This system is unique for its exceptional heat resistance and low dielectric constant.",N/A,,,"[{'Density': {'Metric': '1.09g/cc', 'English': '0.0394lb/in³', 'Comments': 'Part B'}}]",N/A,"[{'Tensile Strength at Break': {'Metric': '62.1MPa', 'English': '9000psi', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.00e+16ohm-cm', 'English': '1.00e+16ohm-cm', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '190°C', 'English': '374°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Arc-Track Free (min)> 20002.5 KV': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=b42bfa546e944b2ca7ee42a2d3464fa1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron AboCast 8502-7/AboCure 8502-7 Colorless, Low-Exotherm Epoxy Casting Compound","Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8502-7/AboCure 8502-7 is a rigid, heat cured, colorless, low-exotherm epoxy casting compound for larger masses. It is a 2-component structural and dielectric liquid system with extremely low shrinkage. It represents the highest level of thermal, chemical, and physical properties available together with colorlessness, lowest shrinkage, and low viscosity for easy casting. Very large, massive 8502-7 castings can harden in several days at room-temperature, or very slightly above it, for best colorlessness. This system also offers the best dielectric properties. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens for commercial or scientific uses. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Water Absorption': {'Metric': '0.40 %@Time 28800 sec', 'English': '0.40 %@Time 8.00 hour', 'Comments': 'boil'}}]",N/A,"[{'Hardness, Shore D': {'Metric': '85', 'English': '85', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '105-118°C', 'English': '221-244°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Acetone Absorption (%)1.23 hr. boil': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=078b4f5b28ac4bee81e6944a3847b6cd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron AboCast 8502-6/AboCure 8502-6 Colorless, Low-Exotherm Epoxy Casting Compound","Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8502-6/AboCure 8502-6 is a flexible, colorless, low-exotherm epoxy casting compound for spherical masses up to 2000 grams. It is a 2-component structural and dielectric liquid system with low shrinkage. It is good for embedding very delicate specimens and components that are very sensitive to heat, pressure, and chemical attack. Its hardening is so slow that small castings may remain fluid for over 30 hours at room temperature. Slicing for microscopy is very easy with it, especially in the first cure stage, where the Shore D hardness is still below 60-70. It is also used with 8502-5, wither blended with it for intermediate properties, or as the base layer in larger and thicker castings where some flexibility and thermocycling resistance is desirable under a harder surface. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens for commercial or scientific uses. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Water Absorption': {'Metric': '3.9 %@Time 28800 sec', 'English': '3.9 %@Time 8.00 hour', 'Comments': 'boil'}}]",N/A,"[{'Hardness, Shore D': {'Metric': '75', 'English': '75', 'Comments': None}}]",N/A,N/A,"[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Acetone Absorption (%)26.33 hr. boil': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=90c6f4924d8441b4a786261a9b7413a9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron AboCast 8502-5/AboCure 8502-5 Colorless, Low-Exotherm Epoxy Casting Compound","Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8502-5/AboCure 8502-5 is a rigid, colorless, low-exotherm epoxy casting compound for spherical masses up to 500 grams. It is a 2-component structural and dielectric liquid system with extremely low shrinkage. The size of its castings is limited by its exotherm (heat of reaction) in bulky casings. In such cases, casting is done in successive thinner layers (to avoid excessive exotherm) until the desired thickness is reached. It gives superior decorative and laboratory embedments and table- and counter-top castings for restaurants and bars. Lower cost versions are known as ""decoupage"" resins. Many faster-curing versions are also available. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens for commercial or scientific uses. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Water Absorption': {'Metric': '1.1 %@Time 28800 sec', 'English': '1.1 %@Time 8.00 hour', 'Comments': 'boil'}}]",N/A,"[{'Hardness, Shore D': {'Metric': '85', 'English': '85', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '60.0-80.0°C', 'English': '140-176°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Acetone Absorption (%)8.83 hr. boil': {'Descriptive Properties': 'ColorClear'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=fd1c8b4909d6425bae7152a8d395dd6f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8503-7/AboCure 8503-7 Colorless Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8503-7/AboCure 8503-7 is a general purpose, slow hardening, colorless epoxy casting compound with low viscosity. It is similar to the 8503-4 system, but more flexible. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models without the high shrinkage of acrylic or other resins. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Viscosity': {'Metric': '700cP', 'English': '700cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '81', 'English': '81', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '45.0°C', 'English': '113°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)120-720': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=42aeaf47dd804e5a82195a4b70d8e592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8503-6/AboCure 8503-6 Colorless Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8503-6/AboCure 8503-6 is a slow hardening, colorless epoxy casting compound with low viscosity used for larger castings. It allows for large castings and offers low viscosity for bubble-free casting because of its low viscosity and slow reactivity. Its low exotherm also allows embedding of heat-sensitive specimens. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models without the high shrinkage of acrylic or other resins. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Viscosity': {'Metric': '200cP', 'English': '200cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '85', 'English': '85', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '47.0°C', 'English': '117°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)240-1080': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ea26ba3333454c00a722ebf1cf663bd0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8503-5/AboCure 8503-5 Colorless Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8503-5/AboCure 8503-5 is a faster hardening, colorless epoxy casting compound used for small castings and decoupage. It is a good choice for small castings, especially for analytical purposes and for small embedments, due to its faster reactivity. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models without the high shrinkage of acrylic or other resins. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Viscosity': {'Metric': '1100cP', 'English': '1100cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '81', 'English': '81', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '50.0°C', 'English': '122°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)60-480': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=1bc55240d5f6448fa72c37676566d7d7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8503-4/AboCure 8503-4 Colorless Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8503-4/AboCure 8503-4 is a general purpose, moderate speed, colorless epoxy casting compound with low viscosity. It offers a convenient 2/1 ratio by volume and lends itself to casting of thicker layers than 8503-3, because of its slower reactivity. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models without the high shrinkage of acrylic or other resins. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Viscosity': {'Metric': '500cP', 'English': '500cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '89', 'English': '89', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '65.0°C', 'English': '149°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)120-720': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ee7f3d426e4947c89cd80091c66b5c60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8503-3/AboCure 8503-3 Colorless Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8503-3/AboCure 8503-3 is a general purpose, medium speed, colorless epoxy casting compound with low viscosity. It has a good balance of properties with a fairly fast hardening. Suggested Uses:  Transparent Casting, Embedding, Encapsulation, Potting, and Bonding. Casting display or experimental models without the high shrinkage of acrylic or other resins. Precise reproduction of anatomical or scientific models. Embedding organic, geologic, or metallurgic specimens. Encapsulation of electric, radioactive, or delicate components. Preservation or repair of artistic and historical objects. High-performance transparent table tops.",N/A,,,"[{'Viscosity': {'Metric': '800cP', 'English': '800cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '84', 'English': '84', 'Comments': None}}]",N/A,"[{'Maximum Service Temperature, Air': {'Metric': '51.0°C', 'English': '124°F', 'Comments': 'Deflection Temp at unknown load'}}]","[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)60-600': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=499a80834d5a4ae7a35c5b11afe3ea22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
